SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price
1801,4,1,Rural,1963,144200.25472284656
2119,3,2,Rural,1972,257560.4742361165
2661,3,2,Suburb,1975,273196.6206523907
2141,5,1,Urban,1999,235009.57750414917
1559,5,1,Urban,2018,166047.69062077426
2624,4,1,Rural,2004,258771.5961898808
1487,2,3,Rural,2016,96385.9182789763
2260,5,1,Urban,1969,246585.67000113003
2908,5,1,Suburb,2005,304455.99187438824
1896,3,2,Rural,1964,171955.104831796
2295,3,3,Suburb,2008,175119.20936481262
2212,2,2,Suburb,2006,273977.7959903137
1703,5,1,Urban,1980,133660.82096467528
2470,5,1,Suburb,2018,276587.1870510741
1580,2,2,Urban,1963,199265.55216972076
1789,5,3,Suburb,1971,133679.26622996147
1860,4,3,Rural,1996,187289.18440161628
1246,4,2,Urban,1991,195380.2522240877
2986,2,1,Urban,2020,290467.5265903441
2099,3,3,Urban,2010,125993.07265561479
1153,2,3,Urban,1954,164864.4865169759
2679,4,2,Rural,1973,271131.6959591951
2458,5,3,Urban,1963,272401.7092102525
1996,5,1,Urban,1997,214623.9275419516
2109,3,2,Rural,1964,270288.24876943545
1696,3,3,Suburb,1977,263720.90173653525
2308,4,1,Rural,1982,343733.4612602183
2997,3,1,Suburb,1996,386973.6452388685
2243,2,2,Urban,2000,232462.4527446684
2092,4,2,Urban,2005,246644.1788837266
2070,5,1,Suburb,2015,136921.1150485443
2008,5,1,Urban,2003,265746.5807708745
1093,5,3,Rural,1950,118967.69191518334
2773,3,3,Rural,1962,225775.6618982253
1957,4,3,Rural,2004,291978.29503658274
2011,3,3,Suburb,1993,261283.99639617518
1452,2,3,Suburb,2003,240942.6385063934
2227,4,2,Suburb,2016,216203.91808913858
1911,3,3,Urban,1998,132355.8167088826
1217,5,3,Suburb,2019,228079.11351403582
1473,5,3,Rural,1958,148489.51219153902
1431,2,1,Suburb,1992,150462.64176160205
1340,2,3,Rural,2014,226047.232175168
1550,2,2,Urban,2013,115706.61525987923
2635,5,1,Suburb,1988,270138.59707251686
2312,3,1,Rural,1986,200589.02878504654
2277,5,3,Rural,1975,258865.26034286627
2757,5,1,Suburb,1983,296494.37010478094
1356,5,3,Urban,1985,122490.16195532805
1022,3,3,Suburb,1995,115202.93724042212
2785,5,3,Urban,2013,341637.3346327042
1521,2,2,Rural,1975,202351.35724556248
2781,2,1,Suburb,1959,303105.48908660375
2860,2,1,Suburb,1980,311183.9181239788
2123,2,1,Rural,2007,149038.00718782184
1801,5,1,Urban,1977,270736.49580213847
2203,5,1,Suburb,1984,263493.245593864
2246,5,3,Suburb,2006,324176.94259542966
2929,2,3,Suburb,1969,337269.8823295874
1761,3,3,Urban,1985,249808.3088836096
2682,4,2,Rural,2012,240370.01190998117
1441,4,2,Rural,2019,316311.3312099292
2631,4,2,Rural,1993,301656.17346017965
1768,3,2,Urban,1962,245823.79008430173
2015,5,1,Urban,1982,260271.79196695355
2348,4,2,Rural,1999,223081.9973620505
1515,4,1,Suburb,1994,133643.3552048616
2039,5,1,Urban,2004,235473.2568647501
1791,4,1,Rural,1999,152462.49930589722
1335,5,3,Rural,2001,255989.5045800418
2782,4,3,Suburb,1996,326470.3363906014
1257,5,1,Suburb,1992,218502.8587774109
1496,2,2,Urban,1959,202684.77305729603
1895,3,1,Urban,1997,159563.627499803
1159,4,3,Rural,2017,167817.14670311325
2498,5,2,Urban,2004,328340.9621873803
1851,2,3,Suburb,1991,206542.45604190213
2687,5,2,Urban,1980,254673.65477120708
2931,4,3,Urban,1979,301490.2157597572
1689,4,1,Urban,2019,211224.04411416216
2698,4,3,Urban,1956,345220.80546968256
1379,4,2,Suburb,1981,103848.36089510174
2568,4,3,Urban,1991,254537.2982707633
2952,2,2,Suburb,1975,352850.78542387614
1956,5,3,Urban,1961,173719.79582802267
1690,5,3,Rural,1963,197888.10794813436
2450,4,1,Urban,1990,265276.1460098992
2636,5,2,Suburb,1992,338456.4113885329
2291,2,2,Suburb,1979,260643.21849028897
2858,4,1,Rural,1958,304034.385670048
2600,3,3,Rural,1969,287191.8105601077
2440,2,2,Suburb,2017,270580.7139209375
2191,4,2,Suburb,1974,252500.3190369424
2865,5,2,Urban,1952,371294.7232165792
2066,2,1,Suburb,1986,257401.59886460408
2579,4,1,Suburb,1977,284904.80234744615
1284,5,2,Rural,2009,211770.31701769648
1396,5,3,Suburb,2009,286856.5217117545
1011,4,3,Rural,1969,175101.11485297672
2630,2,1,Urban,2018,261717.15411096477
2325,4,3,Rural,1957,192111.8457088134
2921,4,1,Urban,2021,287287.6099467984
2276,4,2,Rural,1981,255596.0404676911
1498,4,2,Rural,1973,288403.4882448866
1753,4,2,Urban,1974,185248.1657127602
1034,5,1,Suburb,1969,209782.43902802345
1726,4,3,Rural,2002,215865.8500989949
1848,2,2,Suburb,1970,174158.99432206358
1089,3,3,Suburb,1978,80169.25806211587
1775,4,3,Suburb,2011,197440.8406320433
1604,2,1,Urban,2021,138311.8452227575
2945,3,1,Rural,1983,272553.0410251459
1969,2,3,Rural,1996,150367.97259513475
2625,5,3,Suburb,1991,267944.92750139127
2021,5,2,Rural,1958,192499.13853638052
1417,3,2,Suburb,1985,154703.87797049983
1114,3,2,Urban,1956,132670.1551484759
1616,3,3,Urban,2016,143155.4262902804
2926,5,1,Rural,1983,297645.4550119479
2219,5,3,Suburb,2005,246920.26484897672
1825,2,2,Urban,1986,230264.15501264585
2524,5,2,Rural,2019,328545.8605296379
2649,3,1,Suburb,2004,270556.70020546595
2516,4,3,Suburb,1985,275162.44503035053
2098,4,2,Rural,1959,185514.4834638632
1412,3,1,Suburb,1990,149130.08966753018
2399,5,2,Rural,2000,214095.0543062111
2443,3,1,Rural,1954,290060.3012191346
1728,5,3,Urban,1986,149000.2885716802
2300,4,1,Urban,2006,267485.9013006865
2020,2,3,Rural,1978,190984.00846955905
1760,5,3,Suburb,2005,329138.6055529518
1675,2,2,Urban,1980,216085.781634223
2417,4,3,Suburb,2001,298584.9525466047
2892,2,2,Rural,1962,295605.4558659616
1456,2,2,Rural,1978,220667.13737644893
1919,3,3,Suburb,2007,224202.08579012437
1191,2,1,Urban,1977,103169.83082983548
1738,4,3,Urban,1980,241772.0661041939
2712,5,3,Urban,1996,305954.64946368407
2122,2,1,Urban,2014,152222.32123196096
2571,5,2,Suburb,2009,239857.87116430115
1977,3,2,Urban,1979,284245.94156282244
2008,4,3,Suburb,2017,214463.71330122603
1095,4,1,Urban,2021,172054.11113967386
2687,5,1,Urban,2003,233840.69335767598
1662,4,1,Suburb,2013,240334.624479816
2213,3,1,Suburb,1961,143838.14535935596
2759,5,3,Suburb,1961,231149.53446815303
1036,4,3,Rural,2005,57693.11512567874
2803,3,2,Suburb,1968,314396.5661139018
2392,3,1,Rural,1985,269266.977581019
2718,2,3,Suburb,1963,246523.69977593367
2548,4,3,Suburb,1953,192436.58603816613
1278,5,1,Suburb,1954,214298.28957923286
1216,2,1,Rural,1991,151148.9419555298
1866,5,2,Rural,2009,241160.6363713378
1872,2,1,Rural,1986,211510.34112149564
2821,3,2,Suburb,1980,230251.8348146053
2296,2,2,Suburb,2006,228944.86231109366
2904,2,1,Rural,2001,272997.60155766347
1061,2,1,Rural,1992,71057.43729236326
1595,4,3,Suburb,2004,138738.90112488047
2903,2,1,Urban,1958,306800.5024859408
1728,3,1,Rural,2001,221433.42593213933
2365,5,2,Suburb,2002,260065.91839526407
1396,4,1,Urban,1982,193685.51749938735
1698,3,3,Urban,1951,253164.40903462144
2042,4,3,Rural,1972,260611.24503988435
1176,5,1,Suburb,1965,191111.80359067806
2635,5,1,Suburb,1997,236979.26516775688
1395,5,2,Rural,1953,142709.2132430368
1444,4,1,Rural,1974,90595.44336075484
2256,4,2,Suburb,2017,232944.41916603598
2938,5,1,Urban,2016,208320.65492302965
1075,5,2,Rural,1988,170587.70088704966
1264,3,3,Suburb,1971,185462.10056795456
1454,5,1,Urban,2009,119379.40658699267
2819,2,1,Urban,1985,304423.6713133684
1717,4,2,Urban,1998,240869.40724980322
1734,3,2,Urban,1982,212119.8414692286
2407,4,1,Urban,1968,201291.27162474324
2587,5,2,Suburb,2020,283949.7947263424
1850,2,1,Suburb,1955,237898.5327935223
2529,5,3,Urban,1977,218263.07829683938
2390,4,2,Suburb,2014,222996.20083676538
1143,3,1,Suburb,1963,148993.25117853231
1884,4,3,Suburb,1961,239641.31802085374
2092,3,1,Rural,2008,226598.7974864433
2122,2,1,Urban,2020,229393.30717687766
1395,5,3,Urban,1957,145356.12903263618
2048,5,2,Suburb,1959,218497.79846746355
1947,2,3,Suburb,2019,111367.23862298971
1890,4,1,Suburb,1997,205937.96500738442
2492,2,3,Rural,2003,319363.7891736062
2507,5,1,Rural,1999,321563.40710783505
2588,3,3,Urban,1996,319101.47520436335
2174,5,2,Urban,1978,205614.38829094707
2167,4,3,Rural,1958,266521.92740215774
1568,3,3,Rural,2015,129901.83080778556
2062,4,2,Rural,2018,246504.01107683702
1108,5,1,Urban,2003,82999.51438098928
2716,5,3,Urban,1965,207232.53134222017
2065,3,1,Urban,1957,135032.7138610993
2209,4,3,Suburb,1971,296655.18677291024
1934,3,2,Urban,1964,259611.21731599883
1397,3,3,Suburb,1977,154224.85545384552
2246,4,1,Urban,1978,184167.682777678
1633,3,1,Urban,1981,128511.64008197584
2156,2,2,Urban,1965,199376.22255012847
2186,3,1,Suburb,1982,305463.2842137745
2238,5,2,Rural,1985,230947.2624105161
1732,4,2,Suburb,1988,199698.29937561287
1234,5,1,Urban,1999,196146.75126065977
2866,2,1,Rural,2017,274487.713034125
1657,2,2,Suburb,1963,185033.50732951437
1750,3,1,Rural,1988,222984.37232313093
1587,5,2,Suburb,2020,208334.57395061577
2032,3,3,Rural,1969,254289.73022892696
2097,3,1,Urban,1999,247007.8117062886
1953,5,1,Suburb,1988,189607.32320622526
1491,2,2,Suburb,1957,188387.2146763888
1912,2,3,Suburb,1979,217927.1091427364
2276,2,3,Rural,1969,211264.24766899474
2253,4,1,Urban,1977,193911.85871865976
2542,4,2,Urban,2019,260737.61521321532
2197,3,2,Urban,2003,277508.1067969679
2676,4,1,Suburb,1969,288139.6440456853
2191,4,3,Suburb,1972,310818.2996654319
1169,5,2,Rural,1988,144823.8783201593
2416,3,2,Suburb,1983,216479.2312111171
1945,3,1,Urban,1971,208194.23872286794
1794,5,1,Suburb,2006,253265.03767050477
1633,2,3,Urban,1996,244006.21151038917
2217,5,3,Urban,1967,186245.8282964399
2540,2,2,Rural,1957,273339.0777205339
1028,3,1,Urban,2010,145806.9778864852
2188,3,1,Urban,1979,132414.17762180505
2445,4,1,Rural,1998,380654.63496154535
1338,4,3,Urban,2021,82162.27557986573
2671,5,3,Rural,2012,213976.85964899743
2519,4,2,Suburb,1998,225675.3304178081
2388,3,1,Suburb,1992,253719.62125120836
2856,3,3,Suburb,1966,206099.42510341504
2365,2,1,Urban,2021,233693.17511383988
1499,4,3,Suburb,1992,41630.73903968584
2680,2,1,Suburb,2004,249052.42805366166
1510,3,2,Suburb,2011,184231.20309207158
2350,4,3,Rural,1971,308213.8830350051
1216,2,3,Urban,1966,57095.72060447122
2324,3,2,Urban,2017,182389.1946475966
2155,2,2,Rural,1969,217331.88164170616
2827,4,1,Urban,1978,350242.86844027153
2093,2,3,Urban,1995,289191.5054736979
2275,2,1,Suburb,1963,243496.65823393874
2438,3,1,Suburb,1980,208749.06334160693
2810,4,1,Urban,1980,267005.9190474079
1444,5,3,Rural,1952,105488.09083210795
1875,5,2,Rural,1971,269844.16072456585
2205,2,1,Suburb,2002,238840.57227716382
1166,3,3,Suburb,2003,206852.129632215
1090,4,1,Urban,1976,92241.80581748142
1713,3,2,Rural,1981,133711.23184425896
2881,4,2,Rural,1980,363943.3169361488
2554,3,3,Suburb,1988,254325.53379999197
1038,5,3,Rural,2011,115580.61555255776
2149,5,2,Rural,2006,315570.854831943
2474,5,3,Suburb,2016,290504.41881935316
1172,3,2,Rural,2011,192190.87089628194
1652,3,1,Suburb,1982,204042.48327574137
1753,2,2,Rural,2009,227730.1345025201
2243,5,1,Suburb,1979,315812.0093927289
2661,2,3,Urban,1962,235355.14384911334
2081,3,1,Rural,1969,266445.0244732576
2683,4,2,Rural,2021,373582.4579638869
1475,5,3,Urban,1957,146532.87360307135
1455,5,3,Rural,1970,141658.680700331
1828,5,2,Suburb,1962,311639.1473799411
1894,5,3,Rural,1979,200989.2947203859
2384,5,2,Urban,1998,284763.6398345334
2958,3,1,Suburb,2007,229455.10419490826
2024,5,1,Suburb,1995,253040.83462918125
1386,5,3,Rural,1951,153895.937900664
2996,2,2,Urban,1968,340000.53371239634
1347,4,2,Rural,1976,154491.00607322797
1189,5,1,Rural,1956,194760.36058769596
1504,2,1,Rural,1999,206783.25374908888
2214,3,3,Urban,2002,253978.80475126742
2531,2,2,Suburb,1990,234623.9359452987
2392,5,3,Urban,1961,177596.20161174834
2432,2,3,Urban,1966,244735.0645293368
1823,2,3,Suburb,2021,236688.27176150816
1928,3,2,Rural,2005,205486.3072228253
1933,2,1,Rural,1970,214957.65001214074
2140,3,2,Urban,1963,232001.80999415278
1133,3,2,Urban,1971,31141.661175317786
1057,2,2,Suburb,1958,118092.00217452954
2579,5,3,Urban,1955,295625.1346682316
1684,4,3,Rural,1978,178076.61921988643
1671,2,2,Suburb,1993,195992.02480337096
1172,2,3,Rural,1965,48426.56952724123
2852,2,3,Rural,1993,237828.08700627234
1814,4,1,Suburb,1978,224581.67951386687
2172,4,2,Suburb,1970,240740.18783411043
1079,3,2,Rural,2015,195945.22713417688
1885,4,3,Suburb,2021,249861.14614101723
2236,4,2,Suburb,1985,326922.0049785314
1202,2,2,Urban,1952,206065.58320706734
1763,3,2,Urban,2006,212178.72116261904
2252,5,2,Rural,1998,316517.30020622705
2699,3,3,Rural,1990,240508.83665833162
2250,4,1,Suburb,1999,279073.86395829613
2682,4,3,Suburb,1963,244530.0160029172
2555,2,1,Urban,1972,354766.5624941777
2464,5,2,Suburb,2015,276540.4343396436
2425,5,2,Rural,1989,269753.6360239221
1046,5,2,Urban,1970,92737.39910827587
2256,4,2,Rural,1992,90256.53134838893
2328,4,2,Rural,1995,256324.23144533037
2549,3,2,Rural,1997,215428.4397021493
2166,4,2,Rural,2018,349937.83047997917
2438,5,1,Rural,1979,270658.20070059143
2536,5,3,Urban,1989,341876.2464882541
2396,5,2,Rural,1991,333079.80905804696
2589,2,2,Rural,1973,352650.3372044172
2909,3,2,Rural,2008,384570.0092932205
2282,3,1,Rural,2014,295735.1483372617
1655,4,2,Suburb,2003,195194.70008024535
1470,2,3,Urban,2008,95133.30811467016
2976,3,1,Urban,2009,299964.91612332454
1970,2,1,Suburb,1987,197931.9728010611
2035,2,2,Rural,1951,234129.68073221648
2353,4,1,Urban,2014,352243.84374203807
1735,2,2,Rural,1957,195768.76583076146
1783,3,3,Suburb,1960,189727.3845919774
1967,4,3,Urban,1991,235663.8437831698
1357,3,1,Urban,2004,82170.73832633767
1971,2,1,Rural,1990,238246.37459804575
2431,2,2,Suburb,1952,209647.44750335361
1667,5,1,Urban,1960,204634.1487795993
1372,4,3,Rural,2009,121797.35786225923
2031,4,1,Rural,1959,232913.77870877416
2145,5,3,Rural,1961,260744.77494843025
2371,3,2,Rural,2017,295669.2145331389
1675,3,3,Suburb,1950,222874.72592210292
1089,2,1,Urban,1989,169571.70650048825
2671,4,3,Rural,1988,301400.87618549453
1697,2,3,Suburb,1965,146521.30885491136
2339,5,1,Urban,1974,239841.0991899742
2201,2,2,Urban,1977,250995.74813573709
1539,3,3,Rural,1992,230483.48782444836
1731,3,1,Urban,1956,219340.69060929626
1868,5,3,Rural,1978,271113.41788545327
1040,3,3,Suburb,2012,154006.60360164827
1739,5,3,Urban,1960,208431.56936749088
2727,4,2,Rural,1950,312734.6629286009
2946,5,3,Suburb,1977,342149.84239391383
1501,5,1,Rural,1995,198493.32156194845
1958,5,1,Urban,1952,256779.9117483605
2168,3,3,Suburb,1963,233297.09623688145
2224,4,2,Urban,1988,267938.9424322745
1928,2,1,Urban,1974,210799.65892766285
2747,4,2,Rural,1984,373797.1322616373
1460,3,2,Rural,1979,128689.36466163806
1731,4,1,Suburb,1989,149708.53136453356
1751,4,1,Rural,1960,167144.43736194907
1924,5,2,Suburb,2015,180984.97966438052
1908,5,3,Urban,1988,207714.8483576871
2581,3,2,Urban,1977,226302.52606282648
2570,5,1,Urban,2013,341995.9982288175
2276,3,2,Urban,1952,261788.23030012182
1389,2,1,Suburb,1955,169312.49524263147
2617,4,3,Suburb,1985,246554.25488170618
1882,2,3,Urban,1952,218620.43921642733
1255,2,3,Rural,1969,152644.907943359
1708,4,3,Urban,2019,79441.72986086977
2838,5,3,Suburb,2006,251681.75316897006
2944,2,1,Rural,2001,270128.29476942227
1449,4,2,Urban,1958,207723.08926949638
1009,2,3,Urban,2017,100701.19979526963
1823,2,1,Suburb,2019,236683.28938428898
1797,4,2,Suburb,1999,234486.01240700684
2265,5,2,Suburb,1955,165566.96888497125
2274,3,3,Suburb,1992,286489.71959930385
1876,4,3,Rural,2005,177401.4627306995
2028,3,2,Rural,1966,249908.62854710344
2142,4,2,Suburb,1981,161743.42682973482
2015,4,1,Rural,1960,187143.68436892435
2824,3,3,Urban,1975,247402.5100149845
1373,3,2,Rural,1967,155358.82516424777
2088,5,2,Urban,1979,279165.0371727858
1145,4,3,Suburb,2013,89762.97208250996
1223,4,1,Urban,1981,181760.12007952813
2262,4,1,Suburb,2006,244215.91496888426
1176,5,3,Suburb,2011,245337.76021297852
2802,3,1,Suburb,1956,303158.5657433613
1852,4,1,Rural,1954,156793.64226877288
2305,3,1,Urban,2019,290483.59920286294
1062,5,2,Rural,1963,94671.10673217147
2240,2,2,Suburb,1995,194460.42333305304
2877,3,1,Rural,1961,282958.5553237845
1826,5,3,Suburb,1999,203993.73929847602
1794,2,3,Urban,1990,205849.02814944123
1688,4,3,Suburb,1957,149216.25946975296
2484,4,1,Suburb,1952,246342.17894528623
2952,3,3,Rural,2001,289062.4435412551
2633,2,2,Suburb,1960,296127.9756572241
1104,5,3,Urban,1997,97422.08368762383
2122,4,3,Urban,1961,163521.696400653
1510,4,2,Suburb,2000,122252.28194094716
1384,2,2,Urban,1953,133770.93074875965
1404,5,1,Suburb,1966,184800.95206916227
1822,4,1,Suburb,1978,251020.94331935447
1517,4,1,Urban,1972,115263.64064090073
1475,3,1,Rural,2011,90949.32580507116
1708,5,1,Suburb,1961,189782.12338056669
2886,4,2,Rural,1997,280071.50492796715
2668,2,2,Rural,1982,258006.46454140887
2893,4,2,Suburb,1962,386754.03192247095
1770,5,3,Urban,1987,146603.65784613608
2460,3,3,Suburb,1999,259605.9310192093
2046,4,3,Urban,1961,259302.22778456227
1996,2,1,Suburb,1975,172698.92266857144
2588,4,3,Rural,2014,339031.5397433728
1676,2,1,Suburb,1952,255611.72754527832
1713,5,1,Urban,1957,192246.85587604664
2481,3,1,Urban,1979,345003.4976248391
1082,5,1,Suburb,1992,142633.8501089564
2168,4,3,Urban,1963,195356.4527107719
2108,4,2,Suburb,1966,279338.9777502631
2101,3,1,Rural,2020,176065.22076954978
1456,2,3,Suburb,1989,102686.51248001645
2901,5,1,Suburb,2015,357084.86213091767
1000,2,1,Urban,1957,77593.87758504473
1050,4,2,Suburb,1955,218059.03265432865
1684,2,1,Rural,1967,97481.12166378334
1716,5,2,Rural,2015,251997.9172320539
2795,2,3,Suburb,1951,291568.3442373525
2469,4,1,Urban,2009,164581.10356833227
1448,5,2,Rural,1952,232049.16350135388
1880,2,1,Suburb,1956,153154.0548120147
1487,2,1,Suburb,1996,40231.17453969747
2823,5,1,Rural,1979,400579.37221286324
1033,4,2,Urban,1984,171695.7859384045
2371,5,3,Suburb,2008,255858.32596088614
1094,4,2,Rural,2011,198666.6613698284
2095,2,3,Suburb,1996,232521.07262902104
2574,5,2,Rural,1966,296498.53895237553
1153,4,2,Suburb,2002,220953.76142536377
1249,5,3,Urban,1982,177511.56795711152
1673,2,3,Urban,2012,243821.2869015408
1437,5,3,Rural,1991,152095.59082597902
1117,2,2,Suburb,1997,62277.05245547429
1770,2,3,Urban,2011,182285.04744173575
2914,2,1,Rural,1956,339183.52209606726
2329,4,1,Urban,2004,335253.9924921469
1267,4,1,Urban,1987,157519.0965890365
2984,3,1,Suburb,2018,424502.06760861306
2077,4,3,Suburb,1988,202779.7545867599
1235,3,3,Urban,1978,106521.1346797226
1388,5,1,Urban,1978,178038.7173342208
1989,2,3,Urban,2004,233632.76826735775
2757,4,1,Urban,2009,286469.3746141461
1762,2,2,Rural,2015,173138.7930354946
2848,3,3,Rural,1953,273489.4263233002
1400,4,2,Urban,1969,205885.8808533246
1623,4,3,Suburb,2000,200613.40704922192
1766,4,3,Suburb,2019,227038.98412989223
2326,4,3,Rural,2004,141390.5479169713
1918,2,2,Urban,1995,267982.47357604053
2230,4,2,Suburb,1996,207817.6999502768
2252,3,1,Urban,2019,309843.49823040946
1852,4,2,Rural,1963,151088.13116539095
2933,3,2,Rural,1954,251312.0636183864
1577,3,1,Suburb,1981,153390.6596971213
1074,2,2,Urban,1991,145292.96624164618
1434,4,2,Rural,1989,227151.09262741782
1102,3,1,Suburb,1969,119347.7217802351
2445,4,2,Urban,1994,240111.01375040802
2727,2,1,Urban,1961,349505.4323033673
1763,2,3,Rural,1990,182273.60301941962
1737,4,3,Suburb,1959,192126.8828263893
1805,3,2,Urban,1951,249793.7962718052
2329,5,3,Suburb,2005,297511.55225814733
1097,5,2,Urban,1965,177698.19154519535
2873,2,1,Urban,1994,351221.31948526215
1797,3,1,Urban,1996,145554.8089267062
2358,5,1,Suburb,1990,276729.5247093755
1858,3,3,Rural,1993,169985.32774936478
1434,4,1,Urban,2020,131335.8406140691
1446,2,1,Rural,2007,204761.0039594704
2331,4,2,Urban,2004,316339.4136499978
1248,4,2,Rural,1974,273099.85329381004
1165,4,2,Suburb,1961,146864.0337491901
2504,3,2,Urban,1967,206789.44520633394
1983,5,1,Urban,2014,269940.1612817968
2358,4,2,Rural,2003,223537.99215569498
2019,2,3,Rural,2013,196595.67656394897
1541,3,3,Rural,2012,224318.81079377094
1758,5,3,Suburb,1964,203716.13508642575
2129,4,2,Urban,2018,266474.7697354394
2586,2,1,Suburb,1955,277634.18442378717
1080,4,2,Suburb,1978,170586.86128316916
1132,5,3,Rural,1975,134815.3595102052
1796,5,2,Rural,1950,151337.733270437
1899,4,3,Urban,1978,276208.0402121122
1137,4,1,Urban,1964,108678.20421313099
1183,3,1,Urban,1995,162682.1163934466
2424,5,1,Rural,2013,291911.78517840937
2353,5,1,Rural,1986,259199.89984603744
1784,4,1,Suburb,2004,207482.88572127675
2531,2,2,Urban,2005,274383.1438289569
2875,4,1,Suburb,1966,192842.6457387231
1983,4,2,Urban,2021,233248.53830983472
1068,5,3,Urban,2006,161092.39151627693
1545,3,3,Urban,1971,235129.01531503716
2797,4,1,Suburb,1956,233716.42856998713
1052,2,2,Suburb,1952,146607.18924151923
2473,2,1,Suburb,2003,198600.88677012472
1204,4,3,Rural,2005,216805.1691265378
1125,2,2,Rural,2013,105204.6553885826
2770,2,3,Suburb,1958,332358.65326752944
1042,4,2,Rural,1999,201918.86245696864
2775,2,3,Rural,2020,290506.1967475472
2994,2,1,Suburb,2006,280134.6154050825
2906,4,1,Urban,1957,303339.8005511156
1110,5,1,Rural,2002,200784.71409593563
1760,3,3,Suburb,1984,242093.566167642
2686,3,3,Urban,1998,333760.39768649655
2206,5,3,Rural,1973,338611.35824966105
1847,4,1,Suburb,1956,204116.37864916062
1094,5,3,Urban,1989,150610.52982059156
2994,3,3,Rural,2000,351976.57482016616
2397,3,1,Suburb,1985,188577.06330927566
2935,3,3,Suburb,1983,373813.1556756765
2543,3,2,Rural,2002,240045.8145893422
1899,4,3,Suburb,2016,232981.9149051031
1359,3,1,Urban,1982,192126.7210794374
1899,3,2,Suburb,2015,183344.24374731956
2719,4,1,Rural,2003,250253.11846122923
1280,5,1,Urban,2014,156414.89377766548
2218,4,1,Suburb,2018,276382.0311158142
2887,3,2,Suburb,1989,343806.6146139087
2218,2,2,Urban,2013,249691.3944756925
1666,4,1,Urban,1959,139810.75977076998
1092,4,3,Rural,1963,82690.01099543218
1671,5,2,Suburb,2000,238757.9038506188
2969,3,1,Urban,1950,321467.97516820824
1060,2,3,Suburb,1974,169940.95035538176
1633,4,1,Suburb,1971,175580.25687495343
2074,4,2,Suburb,1985,230989.24720989834
2426,4,2,Rural,1976,279755.3596462243
2812,2,3,Suburb,1970,362904.4721934419
2028,4,2,Rural,1980,268956.6720129476
2489,4,1,Suburb,1955,231954.80722234977
1603,2,1,Rural,2001,179761.4360248159
1681,4,3,Rural,1957,233796.13206302738
2852,2,3,Suburb,2011,362553.0598406943
1533,5,3,Rural,1959,323573.64627204684
2428,2,3,Rural,2020,217368.51854644026
1837,5,1,Rural,1989,246895.8972611083
2536,2,1,Suburb,1984,313418.688090912
1644,3,1,Urban,1975,212913.18654249675
1232,4,1,Urban,2021,156627.3541720271
1523,5,3,Suburb,2013,175489.89319720655
1345,4,2,Rural,1953,164341.102173432
2069,4,1,Suburb,2020,246798.2603672481
1545,2,2,Urban,1953,189422.26600314857
2968,3,3,Urban,1965,379492.56638192805
2101,2,3,Rural,1962,236619.53780719207
2753,4,2,Suburb,1999,326789.9498035659
2836,2,3,Urban,2016,368704.62689232343
2946,5,2,Suburb,1981,355324.47857444914
2096,3,1,Urban,1952,286598.80078736204
1793,4,3,Urban,1987,208823.70139307427
1248,2,3,Urban,2016,144806.31516510362
1046,5,2,Suburb,1988,24201.630700697104
2144,3,2,Suburb,2006,255121.82910899466
1213,2,2,Rural,2004,83400.59453019578
1238,2,2,Suburb,1976,107985.10326868524
2079,4,2,Suburb,1965,300957.7898536421
1349,5,3,Urban,1953,229106.9832001158
1106,3,2,Rural,1999,145544.55360945352
1830,2,1,Rural,1995,219525.36727660798
1047,3,2,Suburb,1991,169713.52510612592
2596,5,3,Suburb,1998,340109.296676296
1336,4,1,Suburb,1993,132485.85217712144
2049,4,3,Suburb,1981,261852.53925246856
1803,4,2,Suburb,2021,167341.43099749333
2280,3,3,Rural,1995,279972.3849370597
1007,3,3,Rural,2020,104862.80383008986
1624,2,2,Rural,1986,181002.39798939376
2890,5,3,Urban,1951,291217.4185038453
2276,5,3,Urban,2016,280634.17900164775
2715,5,3,Suburb,2018,280526.40424461506
1718,3,1,Urban,2012,322761.7216408036
1302,4,3,Rural,1960,117527.31329986567
1638,5,2,Suburb,1967,272001.05630716705
1055,2,2,Urban,1998,128967.41805878977
1725,3,3,Rural,1963,206785.9408313717
1525,4,2,Suburb,1971,220914.53325503776
1473,5,1,Suburb,1971,134308.11399475118
1027,4,2,Rural,1974,190994.41719116567
1077,2,2,Rural,1965,132371.33429608983
2239,5,3,Urban,1988,155708.87984956044
2409,5,1,Rural,1979,286223.4395788689
1364,4,1,Rural,1970,163351.0783050178
1665,3,2,Rural,2021,175376.27163348
1525,4,2,Suburb,1992,179134.0510680079
1698,2,3,Rural,2010,276522.32170470257
2335,4,3,Rural,1968,305260.835044175
1882,4,1,Suburb,1969,149464.87423665097
2030,5,3,Suburb,1996,163185.20618975966
2026,3,1,Suburb,1973,202966.64092546023
2646,3,1,Suburb,2013,359020.0994311885
1918,3,2,Suburb,1969,270285.2387917945
1749,3,1,Rural,2014,153530.47303057194
1362,4,1,Rural,2020,120080.05112120266
2774,5,1,Urban,1974,319107.7938739713
2531,5,1,Rural,2006,278897.66450319154
2297,3,2,Suburb,1982,173934.8323961827
2529,4,3,Rural,2010,274377.35985674424
1805,3,3,Rural,1993,158850.12450646033
1738,3,1,Urban,2010,133936.14179152742
2906,5,3,Suburb,1996,287991.18818528164
